time,event,entry,pHCl,pH2SO4,HNO3
65.00,0.00,35.00,0.35,1.64,0.30
30.00,0.00,0.00,0.66,1.77,0.36
71.00,0.00,41.00,0.85,1.67,0.25
85.00,0.00,55.00,0.40,1.57,0.27
44.00,0.00,14.00,0.53,1.58,0.19
69.00,0.00,39.00,0.33,1.59,0.27
87.80,1.00,78.00,0.66,1.54,0.18
76.00,0.00,46.00,0.32,1.61,0.29
53.00,0.00,23.00,0.46,1.68,0.26
72.00,0.00,42.00,0.42,1.86,0.40
72.00,0.00,42.00,0.65,1.80,0.37
42.00,0.00,12.00,0.56,1.68,0.28
67.80,1.00,55.00,0.35,1.55,0.27
14.90,0.00,0.00,0.55,1.65,0.23
16.60,0.00,0.00,1.02,1.76,0.21
58.00,0.00,28.00,0.42,1.56,0.26
18.30,0.00,0.00,0.44,1.72,0.26
43.00,0.00,13.00,0.76,1.73,0.23
31.90,1.00,22.00,0.66,1.54,0.21
41.00,0.00,11.00,0.75,1.90,0.25
15.60,0.00,0.00,0.47,1.60,0.26
73.00,0.00,43.00,0.39,1.66,0.27
79.70,1.00,67.00,0.58,1.69,0.26
53.00,0.00,23.00,0.43,1.79,0.38
36.90,1.00,20.00,0.68,1.74,0.41
40.00,0.00,10.00,0.88,1.63,0.18
41.00,0.00,11.00,0.49,1.61,0.27
92.00,0.00,62.00,0.32,1.59,0.31
30.00,0.00,0.00,0.96,1.76,0.23
85.70,1.00,71.00,0.55,1.66,0.28
72.00,0.00,42.00,0.45,1.73,0.28
30.00,0.00,0.00,0.71,1.56,0.19
46.20,1.00,36.00,0.90,1.64,0.19
106.00,0.00,76.00,0.52,1.71,0.30
58.20,1.00,58.00,0.42,1.66,0.25
45.00,0.00,15.00,0.58,1.53,0.20
1.00,0.00,0.00,0.50,1.64,0.22
74.00,0.00,44.00,0.32,1.63,0.29
25.20,1.00,0.00,0.64,1.53,0.16
42.00,0.00,12.00,0.34,1.62,0.27
68.20,1.00,53.00,0.51,1.57,0.20
90.00,0.00,60.00,0.58,1.69,0.28
16.30,0.00,0.00,0.34,1.62,0.29
31.00,0.00,1.00,0.54,1.82,0.28
22.40,0.00,0.00,0.34,1.62,0.30
73.00,0.00,43.00,0.39,1.65,0.27
30.00,0.00,0.00,0.64,1.51,0.18
60.00,0.00,30.00,0.32,1.71,0.29
30.00,0.00,0.00,1.03,1.76,0.21
48.00,1.00,37.00,1.09,1.63,0.19
17.60,0.00,0.00,0.46,1.69,0.26
18.90,0.00,0.00,0.34,1.55,0.26
27.20,1.00,20.00,0.41,1.57,0.26
47.00,0.00,17.00,0.52,1.65,0.23
8.60,0.00,0.00,0.91,1.60,0.17
65.00,0.00,35.00,0.33,1.59,0.30
30.00,0.00,0.00,0.34,1.60,0.31
43.30,1.00,30.00,0.31,1.70,0.29
101.00,0.00,71.00,0.52,1.64,0.26
30.00,0.00,0.00,0.61,1.65,0.23
72.00,0.00,42.00,0.38,1.67,0.28
54.00,0.00,24.00,0.43,1.68,0.27
9.10,0.00,0.00,0.61,1.70,0.29
35.00,0.00,5.00,0.36,1.54,0.27
39.00,0.00,9.00,0.36,1.55,0.27
43.00,0.00,13.00,0.68,1.74,0.41
49.00,0.00,19.00,0.32,1.73,0.28
31.20,1.00,26.00,0.53,1.66,0.23
50.00,0.00,20.00,0.41,1.57,0.27
68.00,0.00,38.00,0.74,1.62,0.27
6.90,0.00,0.00,0.94,1.59,0.22
24.20,0.00,0.00,0.90,1.59,0.17
59.00,0.00,29.00,0.54,1.61,0.23
44.00,0.00,14.00,0.45,1.66,0.26
72.00,0.00,42.00,0.54,1.77,0.37
11.70,0.00,0.00,0.73,1.80,0.44
63.00,0.00,33.00,0.59,1.54,0.20
98.00,0.00,68.00,0.37,1.64,0.28
30.00,0.00,0.00,0.71,1.53,0.15
79.00,0.00,49.00,0.59,1.73,0.25
30.00,0.00,0.00,0.83,1.79,0.42
60.00,0.00,30.00,0.51,1.69,0.24
16.10,0.00,0.00,0.67,1.74,0.34
50.00,0.00,20.00,0.53,1.71,0.24
19.00,0.00,0.00,0.53,1.70,0.24
30.00,0.00,0.00,0.49,1.65,0.28
6.20,0.00,0.00,0.62,1.59,0.27
49.00,0.00,19.00,0.80,1.72,0.25
58.00,0.00,28.00,0.34,1.55,0.27
41.00,0.00,11.00,0.53,1.65,0.25
13.00,0.00,0.00,0.62,1.60,0.23
47.00,0.00,17.00,0.57,1.74,0.24
83.00,0.00,53.00,0.50,1.58,0.21
44.00,0.00,14.00,0.42,1.52,0.27
98.00,0.00,68.00,0.36,1.63,0.28
72.00,0.00,42.00,0.35,1.57,0.26
70.00,0.00,40.00,0.39,1.58,0.27
14.90,0.00,0.00,0.57,1.68,0.29
67.70,1.00,41.00,0.66,1.68,0.23
15.00,0.00,0.00,0.67,1.77,0.36
49.00,0.00,19.00,0.42,1.87,0.40
58.00,0.00,28.00,0.34,1.56,0.26
39.60,1.00,14.00,0.54,1.67,0.24
37.20,1.00,14.00,0.83,1.80,0.49
42.80,1.00,21.00,0.34,1.60,0.31
52.00,0.00,22.00,0.42,1.64,0.26
43.90,1.00,14.00,0.53,1.58,0.19
78.00,0.00,48.00,0.50,1.70,0.25
2.90,0.00,0.00,0.42,1.70,0.26
30.00,0.00,0.00,0.58,1.58,0.22
30.00,0.00,0.00,0.76,1.79,0.41
44.20,1.00,29.00,0.66,1.72,0.32
26.80,0.00,0.00,0.51,1.63,0.26
81.20,1.00,62.00,0.62,1.69,0.23
6.20,0.00,0.00,0.54,1.54,0.18
72.00,0.00,42.00,0.32,1.59,0.31
72.00,0.00,42.00,0.67,1.80,0.38
30.00,0.00,0.00,0.86,1.67,0.25
43.00,0.00,13.00,0.51,1.64,0.22
71.00,0.00,41.00,0.60,1.50,0.15
30.00,0.00,0.00,0.50,1.76,0.28
90.00,0.00,60.00,0.58,1.69,0.28
72.00,0.00,42.00,0.39,1.68,0.28
63.00,0.00,33.00,0.31,1.62,0.28
68.80,1.00,39.00,0.43,1.71,0.26
83.00,0.00,53.00,0.52,1.57,0.20
44.00,0.00,14.00,0.58,1.63,0.25
30.00,0.00,0.00,0.46,1.71,0.27
52.00,0.00,22.00,0.77,1.66,0.28
30.00,0.00,0.00,0.58,1.53,0.17
91.00,0.00,61.00,0.39,1.68,0.28
60.00,1.00,39.00,0.61,1.55,0.20
21.60,0.00,0.00,0.38,1.67,0.29
43.00,0.00,13.00,0.73,1.71,0.23
14.90,0.00,0.00,0.44,1.55,0.27
72.00,0.00,42.00,0.43,1.83,0.39
48.00,0.00,18.00,0.47,1.62,0.23
90.00,0.00,60.00,0.48,1.67,0.25
39.70,1.00,19.00,0.78,1.74,0.25
108.00,0.00,78.00,0.62,1.53,0.18
70.00,0.00,40.00,0.39,1.58,0.24
25.60,1.00,0.00,0.93,1.70,0.24
59.50,1.00,58.00,0.91,1.60,0.17
31.00,0.00,1.00,0.63,1.60,0.26
8.70,0.00,0.00,0.55,1.73,0.32
65.00,0.00,35.00,0.35,1.65,0.31
44.00,0.00,14.00,0.65,1.92,0.25
70.00,0.00,40.00,0.38,1.58,0.24
37.00,0.00,7.00,0.50,1.58,0.20
58.00,0.00,28.00,0.34,1.56,0.26
49.00,0.00,19.00,0.34,1.61,0.27
87.00,0.00,57.00,0.49,1.74,0.28
44.00,0.00,14.00,0.67,1.52,0.18
90.00,0.00,60.00,0.58,1.68,0.28
37.00,0.00,7.00,0.51,1.57,0.20
72.00,0.00,42.00,0.54,1.73,0.24
106.00,0.00,76.00,0.33,1.56,0.26
54.90,1.00,26.00,0.44,1.94,0.42
20.60,1.00,0.00,1.15,1.76,0.22
62.00,0.00,32.00,0.43,1.55,0.26
83.00,0.00,53.00,0.51,1.59,0.21
58.00,0.00,28.00,0.35,1.57,0.25
8.50,0.00,0.00,0.53,1.70,0.29
69.00,0.00,39.00,0.33,1.59,0.27
43.00,0.00,13.00,0.42,1.69,0.26
30.00,0.00,0.00,0.93,1.73,0.24
72.00,0.00,42.00,0.36,1.61,0.25
44.00,0.00,14.00,0.46,1.62,0.23
70.00,0.00,40.00,0.54,1.69,0.23
30.00,0.00,0.00,0.34,1.52,0.27
72.90,1.00,62.00,0.31,1.58,0.31
67.00,0.00,37.00,0.56,1.72,0.31
3.60,0.00,0.00,0.46,1.67,0.26
50.40,1.00,42.00,0.35,1.66,0.31
64.00,0.00,34.00,0.40,1.70,0.27
42.10,1.00,33.00,0.57,1.63,0.24
9.90,0.00,0.00,0.31,1.62,0.28
69.00,0.00,39.00,0.58,1.68,0.28
18.70,0.00,0.00,0.57,1.69,0.27
50.80,1.00,37.00,1.11,1.63,0.20
11.80,0.00,0.00,0.66,1.54,0.21
72.00,0.00,42.00,0.37,1.66,0.28
107.00,0.00,77.00,0.39,1.61,0.25
54.00,0.00,24.00,0.65,1.56,0.21
34.00,0.00,4.00,0.32,1.78,0.29
61.00,0.00,31.00,0.34,1.60,0.26
8.00,0.00,0.00,0.51,1.72,0.27
13.80,0.00,0.00,0.67,1.73,0.41
30.00,0.00,0.00,0.74,1.79,0.43
74.00,0.00,44.00,0.36,1.62,0.29
73.00,0.00,43.00,0.44,1.73,0.26
67.20,1.00,62.00,0.82,1.56,0.18
84.00,1.00,66.00,0.53,1.64,0.22
37.00,0.00,7.00,0.76,1.67,0.29
55.00,0.00,25.00,0.42,1.54,0.27
52.00,0.00,22.00,0.37,1.66,0.27
2.80,0.00,0.00,1.03,1.77,0.21
50.00,0.00,20.00,0.44,1.66,0.24
49.00,0.00,19.00,0.35,1.60,0.25
2.30,0.00,0.00,0.64,1.78,0.24
87.00,0.00,57.00,0.35,1.60,0.27
5.50,0.00,0.00,0.46,1.64,0.24
8.90,0.00,0.00,0.60,1.57,0.23
8.40,0.00,0.00,0.41,1.53,0.27
65.00,0.00,35.00,0.34,1.63,0.28
28.90,0.00,0.00,0.82,1.59,0.17
23.00,0.00,0.00,0.58,1.68,0.23
39.00,0.00,9.00,0.40,1.56,0.28
30.00,0.00,0.00,0.55,1.62,0.25
62.40,1.00,42.00,0.48,1.83,0.40
3.50,0.00,0.00,0.65,1.71,0.34
28.40,1.00,0.00,0.85,1.57,0.16
72.00,0.00,42.00,0.85,1.79,0.39
69.30,1.00,66.00,0.47,1.64,0.24
30.00,0.00,0.00,0.33,1.60,0.31
91.50,1.00,78.00,0.63,1.53,0.17
24.30,0.00,0.00,0.67,1.52,0.19
101.00,0.00,71.00,0.39,1.61,0.24
51.00,0.00,21.00,0.39,1.66,0.27
73.00,0.00,43.00,0.38,1.60,0.24
5.90,0.00,0.00,0.78,1.68,0.30
74.00,0.00,44.00,0.38,1.67,0.28
106.00,0.00,76.00,0.52,1.71,0.30
41.60,1.00,31.00,0.49,1.65,0.24
40.00,0.00,10.00,1.05,1.61,0.18
30.00,0.00,0.00,0.83,1.65,0.18
91.00,0.00,61.00,0.34,1.61,0.29
15.30,0.00,0.00,0.39,1.58,0.27
60.00,0.00,30.00,0.45,1.71,0.27
30.00,0.00,0.00,0.58,1.54,0.17
66.00,0.00,36.00,0.59,1.74,0.24
62.00,0.00,32.00,0.39,1.69,0.28
52.80,1.00,46.00,0.33,1.57,0.27
53.00,0.00,23.00,0.46,1.69,0.26
51.00,0.00,21.00,0.39,1.66,0.27
98.00,0.00,68.00,0.42,1.57,0.25
75.90,1.00,62.00,0.67,1.52,0.19
66.00,0.00,36.00,0.47,1.66,0.25
28.00,0.00,0.00,1.14,1.76,0.25
44.00,0.00,14.00,0.44,1.71,0.26
59.00,0.00,29.00,0.37,1.59,0.24
30.00,0.00,0.00,0.52,1.81,0.29
16.20,1.00,0.00,0.86,1.81,0.50
34.00,0.00,4.00,0.32,1.79,0.29
22.40,0.00,0.00,0.92,1.72,0.25
31.00,0.00,1.00,0.58,1.59,0.25
29.10,1.00,0.00,0.60,1.57,0.20
6.60,0.00,0.00,0.60,1.58,0.26
78.00,0.00,48.00,0.44,1.70,0.27
1.40,0.00,0.00,0.57,1.53,0.19
81.00,0.00,51.00,0.32,1.62,0.30
30.00,0.00,0.00,0.34,1.61,0.31
68.00,0.00,38.00,0.42,1.70,0.26
52.00,0.00,22.00,0.42,1.63,0.26
13.60,1.00,10.00,1.08,1.62,0.19
30.00,0.00,0.00,0.59,1.83,0.26
68.00,0.00,38.00,0.45,1.72,0.28
37.30,1.00,20.00,0.39,1.58,0.27
30.00,0.00,0.00,0.36,1.65,0.32
48.00,0.00,18.00,0.45,1.63,0.25
26.60,0.00,0.00,0.56,1.51,0.17
78.00,0.00,48.00,0.50,1.80,0.28
101.00,0.00,71.00,0.53,1.65,0.26
42.00,0.00,12.00,0.52,1.59,0.19
51.00,0.00,21.00,0.67,1.53,0.15
61.00,0.00,31.00,0.58,1.53,0.19
30.00,0.00,0.00,0.92,1.63,0.30
43.00,0.00,13.00,0.54,1.53,0.17
59.00,0.00,29.00,0.58,1.74,0.24
50.00,0.00,20.00,0.84,1.68,0.35
50.00,0.00,20.00,0.42,1.71,0.27
72.00,0.00,42.00,0.52,1.76,0.37
90.00,0.00,60.00,0.46,1.72,0.26
27.20,1.00,10.00,1.21,1.76,0.23
40.00,0.00,10.00,0.73,1.81,0.43
30.00,0.00,0.00,0.65,1.53,0.16
72.00,0.00,42.00,0.38,1.68,0.28
58.90,1.00,33.00,0.57,1.60,0.22
31.00,0.00,1.00,0.85,1.71,0.22
5.30,0.00,0.00,1.01,1.61,0.18
47.00,0.00,17.00,0.56,1.73,0.24
97.30,1.00,78.00,0.57,1.59,0.22
51.00,0.00,21.00,0.49,1.63,0.26
30.00,0.00,0.00,0.54,1.54,0.20
30.00,0.00,0.00,1.01,1.77,0.21
44.00,0.00,14.00,0.54,1.67,0.23
47.00,0.00,17.00,0.34,1.55,0.28
48.20,1.00,33.00,0.59,1.54,0.20
79.00,0.00,49.00,0.46,1.73,0.28
44.00,0.00,14.00,0.34,1.61,0.32
47.00,0.00,17.00,0.59,1.80,0.39
7.30,0.00,0.00,0.35,1.60,0.27
72.00,0.00,42.00,0.43,1.84,0.40
69.50,1.00,53.00,0.51,1.57,0.21
30.00,0.00,0.00,0.44,1.68,0.27
51.00,0.00,21.00,0.41,1.85,0.39
58.00,0.00,28.00,0.46,1.71,0.26
30.00,0.00,0.00,0.58,1.63,0.24
30.00,0.00,0.00,0.67,1.61,0.28
72.00,0.00,42.00,0.35,1.57,0.25
58.00,0.00,28.00,0.31,1.70,0.29
42.00,0.00,12.00,0.36,1.65,0.31
92.00,0.00,62.00,0.35,1.62,0.30
44.00,0.00,14.00,0.57,1.68,0.27
64.00,0.00,34.00,0.35,1.62,0.30
51.00,0.00,21.00,0.52,1.65,0.28
82.00,0.00,52.00,0.47,1.60,0.26
47.00,0.00,17.00,0.66,1.52,0.19
30.00,0.00,0.00,0.68,1.53,0.19
2.10,0.00,0.00,0.44,1.82,0.39
74.00,0.00,44.00,0.36,1.68,0.32
4.10,0.00,0.00,0.57,1.51,0.17
78.00,0.00,48.00,0.52,1.78,0.28
9.00,0.00,0.00,0.70,1.68,0.23
30.00,0.00,0.00,0.80,1.79,0.42
86.00,0.00,56.00,0.57,1.71,0.24
89.90,1.00,60.00,0.59,1.70,0.27
47.00,0.00,17.00,0.38,1.69,0.28
50.00,0.00,20.00,0.49,1.64,0.22
59.00,0.00,29.00,0.60,1.70,0.28
65.00,0.00,35.00,0.34,1.63,0.28
53.00,0.00,23.00,0.48,1.71,0.32
82.00,0.00,52.00,0.47,1.69,0.26
73.50,1.00,44.00,0.33,1.60,0.31
30.00,0.00,0.00,0.55,1.65,0.24
67.00,0.00,37.00,0.59,1.59,0.22
51.00,0.00,21.00,0.47,1.68,0.25
44.10,1.00,35.00,1.01,1.77,0.21
36.00,0.00,6.00,0.40,1.58,0.27
96.00,0.00,66.00,0.46,1.64,0.24
24.70,0.00,0.00,0.74,1.76,0.24
53.00,0.00,23.00,0.30,1.55,0.30
107.00,0.00,77.00,0.38,1.60,0.24
83.00,0.00,53.00,0.59,1.67,0.23
30.00,0.00,0.00,0.32,1.60,0.31
63.00,0.00,33.00,0.59,1.66,0.24
100.60,1.00,71.00,0.50,1.63,0.26
59.00,0.00,29.00,0.41,1.67,0.26
72.00,0.00,42.00,0.55,1.73,0.24
53.10,1.00,40.00,0.51,1.70,0.24
9.00,0.00,0.00,1.11,1.76,0.24
71.00,0.00,41.00,0.37,1.60,0.25
81.50,1.00,74.00,0.31,1.58,0.29
43.00,0.00,13.00,0.55,1.52,0.17
14.10,0.00,0.00,0.39,1.61,0.25
81.00,0.00,51.00,0.31,1.62,0.31
53.00,0.00,23.00,0.40,1.69,0.27
79.00,0.00,49.00,0.61,1.76,0.24
52.00,0.00,22.00,0.63,1.55,0.21
48.00,0.00,18.00,0.45,1.64,0.25
44.00,0.00,14.00,0.46,1.55,0.27
23.00,1.00,0.00,0.45,1.66,0.24
108.00,0.00,78.00,0.45,1.65,0.26
28.10,0.00,0.00,0.58,1.53,0.17
69.20,1.00,48.00,0.44,1.70,0.27
30.00,0.00,0.00,0.72,1.70,0.23
54.00,0.00,24.00,0.32,1.59,0.31
50.00,0.00,20.00,0.40,1.60,0.24
45.00,0.00,15.00,0.40,1.68,0.28
29.40,0.00,0.00,0.61,1.74,0.32
83.00,0.00,53.00,0.52,1.57,0.20
88.00,0.00,58.00,0.42,1.66,0.25
9.50,0.00,0.00,0.38,1.66,0.30
45.00,0.00,15.00,0.53,1.68,0.24
30.00,0.00,0.00,0.73,1.79,0.38
30.00,0.00,0.00,0.69,1.55,0.18
30.00,0.00,0.00,0.70,1.66,0.34
30.00,0.00,0.00,1.04,1.69,0.21
30.00,0.00,0.00,0.44,1.68,0.28
30.00,0.00,0.00,0.61,1.75,0.24
17.30,0.00,0.00,0.60,1.77,0.25
19.90,0.00,0.00,0.93,1.75,0.22
66.00,0.00,36.00,0.52,1.70,0.24
47.00,0.00,17.00,0.46,1.71,0.26
43.00,0.00,13.00,0.54,1.53,0.16
46.70,1.00,17.00,0.95,1.63,0.18
40.00,0.00,10.00,0.82,1.62,0.18
27.20,1.00,10.00,0.79,1.82,0.53
85.00,0.00,55.00,0.49,1.64,0.28
1.70,0.00,0.00,0.45,1.67,0.25
36.50,1.00,25.00,0.94,1.75,0.22
58.00,0.00,28.00,0.32,1.72,0.29
16.20,0.00,0.00,0.92,1.59,0.19
30.00,0.00,0.00,0.56,1.65,0.24
30.00,0.00,0.00,0.62,1.59,0.27
24.70,0.00,0.00,0.52,1.57,0.20
59.00,0.00,29.00,0.36,1.62,0.26
29.40,0.00,0.00,0.57,1.71,0.24
47.00,0.00,17.00,0.68,1.57,0.21
65.00,0.00,35.00,0.35,1.65,0.31
30.00,0.00,0.00,0.56,1.79,0.26
45.00,0.00,15.00,0.41,1.70,0.27
53.00,0.00,23.00,0.41,1.60,0.24
108.00,0.00,78.00,0.65,1.54,0.18
4.20,0.00,0.00,0.49,1.67,0.24
79.00,0.00,49.00,0.46,1.65,0.25
6.40,0.00,0.00,0.45,1.71,0.26
56.10,1.00,39.00,0.61,1.56,0.20
91.00,0.00,61.00,0.37,1.66,0.28
63.00,0.00,33.00,0.50,1.65,0.24
4.10,0.00,0.00,0.56,1.75,0.33
30.00,0.00,0.00,0.96,1.84,0.54
44.00,0.00,14.00,0.56,1.68,0.25
51.00,0.00,21.00,0.43,1.73,0.27
60.00,0.00,30.00,0.45,1.72,0.26
90.00,0.00,60.00,0.50,1.69,0.28
12.80,1.00,0.00,1.19,1.79,0.29
15.60,0.00,0.00,0.32,1.60,0.31
30.00,0.00,0.00,0.52,1.81,0.29
31.00,1.00,28.00,0.39,1.56,0.28
40.00,0.00,10.00,0.54,1.52,0.18
50.00,0.00,20.00,0.62,1.52,0.18
52.00,0.00,22.00,0.42,1.66,0.25
72.20,1.00,71.00,0.39,1.61,0.24
21.40,0.00,0.00,0.48,1.61,0.28
37.00,0.00,7.00,0.58,1.54,0.20
2.90,0.00,0.00,0.71,1.52,0.18
54.30,1.00,35.00,0.56,1.80,0.28
92.00,0.00,62.00,0.47,1.75,0.28
61.00,0.00,31.00,0.32,1.58,0.31
0.20,0.00,0.00,0.56,1.71,0.24
44.00,0.00,14.00,0.54,1.59,0.18
83.70,1.00,59.00,0.61,1.58,0.27
30.00,0.00,0.00,0.37,1.54,0.28
52.00,0.00,22.00,0.44,1.71,0.27
52.00,0.00,22.00,0.74,1.60,0.22
3.90,0.00,0.00,0.54,1.77,0.37
5.00,0.00,0.00,0.58,1.57,0.26
44.00,0.00,14.00,0.51,1.59,0.20
44.20,1.00,17.00,0.71,1.59,0.21
30.00,0.00,0.00,0.60,1.77,0.25
101.00,0.00,71.00,0.64,1.57,0.20
74.00,0.00,44.00,0.37,1.65,0.28
74.00,0.00,44.00,0.38,1.67,0.29
55.00,0.00,25.00,0.36,1.67,0.32
85.00,0.00,55.00,0.36,1.55,0.27
63.00,0.00,33.00,0.38,1.81,0.37
63.00,0.00,33.00,0.33,1.62,0.28
85.00,0.00,55.00,0.40,1.57,0.28
30.00,0.00,0.00,0.62,1.59,0.27
47.00,0.00,17.00,0.62,1.58,0.22
21.90,0.00,0.00,0.42,1.85,0.40
10.00,0.00,0.00,0.80,1.66,0.23
60.00,0.00,30.00,0.70,1.55,0.16
16.20,0.00,0.00,0.50,1.66,0.28
52.00,0.00,22.00,0.43,1.69,0.25
13.60,0.00,0.00,0.61,1.56,0.20
3.10,0.00,0.00,0.53,1.59,0.19
74.00,0.00,44.00,0.34,1.61,0.31
73.00,1.00,57.00,0.35,1.59,0.26
15.20,0.00,0.00,0.62,1.55,0.21
30.00,0.00,0.00,0.54,1.58,0.19
44.00,0.00,14.00,0.46,1.71,0.25
44.00,0.00,14.00,0.39,1.50,0.26
72.00,0.00,42.00,0.81,1.58,0.17
83.00,0.00,53.00,0.76,1.62,0.28
9.40,0.00,0.00,0.34,1.61,0.31
42.00,0.00,12.00,0.93,1.63,0.18
86.00,0.00,56.00,0.56,1.71,0.24
19.90,0.00,0.00,0.38,1.67,0.28
92.00,0.00,62.00,0.34,1.72,0.33
3.40,0.00,0.00,0.56,1.52,0.17
40.00,0.00,10.00,0.88,1.58,0.16
8.00,0.00,0.00,0.36,1.63,0.30
19.20,0.00,0.00,0.34,1.63,0.28
59.00,0.00,29.00,0.38,1.66,0.30
52.00,0.00,22.00,0.42,1.62,0.26
63.00,0.00,33.00,0.54,1.54,0.20
53.00,0.00,23.00,0.31,1.56,0.31
18.50,1.00,0.00,1.01,1.68,0.21
50.00,0.00,20.00,0.41,1.57,0.27
60.00,0.00,30.00,0.70,1.55,0.15
1.80,0.00,0.00,0.60,1.68,0.23
77.00,0.00,47.00,0.55,1.66,0.23
53.00,0.00,23.00,0.30,1.54,0.30
82.30,1.00,60.00,0.47,1.66,0.27
53.00,0.00,23.00,0.40,1.67,0.26
28.90,0.00,0.00,0.54,1.53,0.17
44.00,0.00,14.00,0.57,1.79,0.28
57.00,0.00,27.00,0.42,1.67,0.26
5.80,0.00,0.00,1.19,1.79,0.28
69.00,0.00,39.00,0.33,1.58,0.27
47.00,0.00,17.00,0.62,1.54,0.16
74.00,0.00,44.00,0.32,1.60,0.28
69.00,0.00,39.00,0.59,1.68,0.23
44.00,0.00,14.00,0.33,1.59,0.32
39.00,0.00,9.00,0.45,1.62,0.25
53.00,0.00,23.00,0.48,1.55,0.26
23.20,1.00,0.00,1.05,1.76,0.21
80.00,0.00,50.00,0.59,1.62,0.22
44.00,0.00,14.00,0.44,1.71,0.26
92.00,0.00,62.00,0.67,1.52,0.19
94.00,0.00,64.00,0.50,1.79,0.28
30.00,0.00,0.00,0.80,1.66,0.25
33.00,0.00,3.00,0.46,1.61,0.25
30.00,0.00,0.00,0.54,1.57,0.18
48.70,1.00,39.00,0.64,1.53,0.20
25.80,1.00,0.00,0.70,1.53,0.19
61.00,0.00,31.00,0.49,1.65,0.24
30.00,0.00,0.00,0.61,1.70,0.23
61.00,0.00,31.00,0.52,1.67,0.29
5.60,0.00,0.00,0.86,1.68,0.36
61.00,0.00,31.00,0.43,1.72,0.26
74.00,0.00,44.00,0.32,1.60,0.28
33.10,1.00,21.00,0.63,1.54,0.16
44.00,0.00,14.00,0.62,1.80,0.24
63.00,0.00,33.00,0.74,1.55,0.20
58.00,0.00,28.00,0.67,1.74,0.34
1.80,0.00,0.00,0.43,1.72,0.26
92.00,0.00,62.00,0.42,1.71,0.27
83.00,0.00,53.00,0.40,1.66,0.26
30.00,0.00,0.00,0.58,1.58,0.22
62.00,0.00,32.00,0.35,1.63,0.31
24.00,1.00,16.00,0.51,1.83,0.29
74.40,1.00,53.00,0.51,1.58,0.21
85.00,0.00,55.00,0.38,1.55,0.25
55.00,0.00,25.00,0.40,1.84,0.40
17.90,0.00,0.00,1.03,1.77,0.21
39.00,0.00,9.00,0.39,1.55,0.28
69.00,0.00,39.00,0.43,1.71,0.26
70.50,1.00,60.00,0.38,1.56,0.23
87.00,0.00,57.00,0.35,1.60,0.27
30.00,1.00,15.00,0.72,1.62,0.26
74.00,0.00,44.00,0.38,1.68,0.29
75.00,0.00,45.00,0.74,1.57,0.18
77.70,1.00,62.00,0.62,1.69,0.24
83.50,1.00,71.00,0.64,1.58,0.20
30.00,0.00,0.00,0.82,1.60,0.16
72.00,0.00,42.00,0.36,1.61,0.25
16.10,1.00,0.00,1.02,1.78,0.25
45.00,0.00,15.00,0.65,1.56,0.23
30.00,0.00,0.00,0.57,1.79,0.26
9.00,0.00,0.00,0.44,1.68,0.27
34.00,0.00,4.00,0.60,1.60,0.25
90.00,0.00,60.00,0.52,1.70,0.28
4.00,0.00,0.00,0.94,1.71,0.20
4.60,0.00,0.00,1.20,1.88,0.50
82.30,1.00,55.00,0.40,1.57,0.28
30.00,0.00,0.00,0.76,1.57,0.15
45.00,0.00,15.00,0.44,1.66,0.25
55.00,0.00,25.00,0.91,1.73,0.21
74.00,0.00,44.00,0.42,1.85,0.40
30.00,0.00,0.00,0.36,1.58,0.26
44.60,1.00,39.00,0.44,1.58,0.25
30.00,0.00,0.00,0.32,1.59,0.32
48.00,0.00,18.00,0.56,1.68,0.23
35.60,1.00,17.00,0.58,1.79,0.37
63.00,0.00,33.00,0.54,1.71,0.24
25.70,0.00,0.00,0.58,1.68,0.31
49.00,0.00,19.00,0.76,1.63,0.22
23.60,0.00,0.00,0.67,1.74,0.34
29.50,0.00,0.00,0.53,1.70,0.23
30.00,0.00,0.00,0.98,1.74,0.25
5.00,0.00,0.00,0.61,1.55,0.21
92.30,1.00,76.00,0.33,1.55,0.26
26.60,1.00,1.00,0.61,1.60,0.26
43.00,0.00,13.00,0.54,1.53,0.16
13.20,0.00,0.00,0.63,1.55,0.22
30.00,0.00,0.00,0.61,1.59,0.28
77.60,1.00,63.00,0.56,1.71,0.24
66.90,1.00,57.00,0.59,1.60,0.25
13.70,1.00,0.00,1.12,1.76,0.24
91.00,0.00,61.00,0.39,1.68,0.28
40.00,0.00,10.00,0.84,1.62,0.18
30.00,0.00,0.00,0.83,1.71,0.23
30.00,0.00,0.00,0.32,1.53,0.27
54.00,0.00,24.00,0.54,1.56,0.18
30.00,0.00,0.00,0.81,1.58,0.17
50.00,0.00,20.00,0.48,1.65,0.23
52.00,0.00,22.00,0.43,1.60,0.24
30.00,0.00,0.00,0.78,1.58,0.15
66.00,0.00,36.00,0.44,1.78,0.37
15.50,0.00,0.00,1.26,1.67,0.25
41.00,0.00,11.00,0.37,1.67,0.30
5.60,0.00,0.00,0.55,1.68,0.30
72.00,0.00,42.00,0.50,1.78,0.39
67.90,1.00,38.00,0.72,1.59,0.24
90.00,0.00,60.00,0.43,1.60,0.25
54.00,0.00,24.00,0.52,1.57,0.19
1.20,0.00,0.00,0.42,1.79,0.38
78.00,0.00,48.00,0.46,1.71,0.27
48.00,0.00,18.00,0.44,1.61,0.25
